symptoms,disease,risk_level
"constipation, severe abdominal pain, loss of appetite, nausea, fever, vomiting",Appendicitis,HIGH
cold sensitivity and fatigue and dry skin,Hypothyroidism,MEDIUM
burning sensation ring-shaped rash redness cracking skin itching scaling,Fungal Infection,LOW
ring-shaped rash cracking skin burning sensation itching redness,Fungal Infection,LOW
"vision problems, headache, nosebleeds, dizziness, shortness of breath, chest pain",Hypertension,HIGH
"dull headache, fatigue, neck pain",Tension Headache,LOW
vomiting headache spinning sensation,Vertigo,MEDIUM
"diarrhea, constipation, cramping, abdominal pain",Irritable Bowel Syndrome,LOW
hives nausea dizziness swelling itching difficulty breathing,Food Allergy,MEDIUM
difficulty concentrating and difficulty falling asleep and waking up at night and daytime fatigue and irritability,Insomnia,LOW
loss of appetite diarrhea prolonged fever rash headache stomach pain,Typhoid,HIGH
visual disturbances and vomiting and sensitivity to light and sensitivity to sound,Migraine,LOW
white spots in mouth and red eyes and rash and sensitivity to light and high fever,Measles,MEDIUM
"itching, redness, cracking skin",Fungal Infection,LOW
red skin high body temperature nausea confusion unconsciousness,Heat Stroke,HIGH
runny nose watery eyes sneezing itchy throat nasal congestion itchy nose,Allergic Rhinitis,LOW
vision loss and blurred vision and headache and halos around lights,Glaucoma,HIGH
"swelling, blisters, cracking",Dermatitis,LOW
pink urine and pain during urination and severe pain in side and nausea and frequent urination,Kidney Stones,HIGH
waking up at night daytime fatigue irritability difficulty concentrating,Insomnia,LOW
"fatigue, reduced range of motion, redness around joints, stiffness",Arthritis,MEDIUM
frequent urination severe pain in side pain during urination pink urine nausea vomiting,Kidney Stones,HIGH
"rough patches, dry skin, swelling, itchy skin, red patches, cracked skin",Eczema,LOW
"itching, hives, swelling, nausea, dizziness",Food Allergy,MEDIUM
burning silvery scales thick nails dry cracked skin itching red patches,Psoriasis,LOW
restlessness difficulty concentrating irritability excessive worry sleep problems,Anxiety Disorder,MEDIUM
"coughing at night, rapid breathing, shortness of breath, wheezing, difficulty breathing, chest tightness",Asthma,MEDIUM
fever severe abdominal pain vomiting nausea,Appendicitis,HIGH
"limited movement, muscle spasms, muscle pain, weakness, bruising, swelling",Muscle Strain,LOW
fever nausea headache,Gastroenteritis,MEDIUM
"pain while chewing, loss of appetite, headache",Mumps,MEDIUM
sore throat and runny nose and fatigue and body aches,Influenza (Flu),MEDIUM
"dry skin, itchy skin, cracked skin, rough patches",Eczema,LOW
"weakness, fever, vomiting, stomach pain, diarrhea, dehydration",Food Poisoning,MEDIUM
"reduced range of motion, joint pain, swelling, stiffness",Arthritis,MEDIUM
watery eyes and discharge from eyes and itchy eyes and gritty feeling and sensitivity to light,Conjunctivitis,LOW
"vomiting, nausea, frequent urination, pink urine, pain during urination",Kidney Stones,HIGH
"severe pain in side, nausea, vomiting, pain during urination",Kidney Stones,HIGH
difficulty breathing stomach pain swelling nausea dizziness,Food Allergy,MEDIUM
fatigue anxiety difficulty sleeping rapid heartbeat weight loss sweating,Hyperthyroidism,MEDIUM
"rapid breathing, wheezing, coughing at night, chest tightness",Asthma,MEDIUM
dry cracked skin and red patches and silvery scales,Psoriasis,LOW
fever constipation vomiting loss of appetite severe abdominal pain,Appendicitis,HIGH
weight gain depression fatigue cold sensitivity muscle weakness,Hypothyroidism,MEDIUM
"dry cracked skin, burning, silvery scales, thick nails, red patches",Psoriasis,LOW
"bruising, muscle spasms, limited movement, swelling, weakness, muscle pain",Muscle Strain,LOW
rash headache diarrhea,Typhoid,HIGH
rough patches and cracked skin and itchy skin and swelling and red patches,Eczema,LOW
discharge from eyes and red eyes and watery eyes and sensitivity to light,Conjunctivitis,LOW
dark stool vomiting bloating nausea weight loss heartburn,Peptic Ulcer,MEDIUM
dizziness nausea spinning sensation,Vertigo,MEDIUM
"restlessness, muscle tension, excessive worry, difficulty concentrating, sleep problems, fatigue",Anxiety Disorder,MEDIUM
balance problems and headache and dizziness and vomiting and nausea and spinning sensation,Vertigo,MEDIUM
fatigue and sleep problems and difficulty concentrating and appetite changes and persistent sadness and loss of interest,Depression,MEDIUM
"pink urine, pain during urination, nausea, severe pain in side, frequent urination, vomiting",Kidney Stones,HIGH
"bloating, heartburn, weight loss, stomach pain",Peptic Ulcer,MEDIUM
"mild fever, watery eyes, runny nose, sneezing",Common Cold,LOW
fatigue and sleep problems and persistent sadness and loss of interest and difficulty concentrating,Depression,MEDIUM
reduced range of motion and redness around joints and joint pain and swelling and stiffness,Arthritis,MEDIUM
nasal congestion itchy nose sneezing runny nose watery eyes itchy throat,Allergic Rhinitis,LOW
cracking swelling redness itchy skin blisters,Dermatitis,LOW
weight loss and anxiety and tremors and rapid heartbeat,Hyperthyroidism,MEDIUM
itchy skin rough patches red patches dry skin,Eczema,LOW
sweating difficulty sleeping tremors,Hyperthyroidism,MEDIUM
muscle spasms bruising muscle pain,Muscle Strain,LOW
shortness of breath chest tightness coughing at night wheezing difficulty breathing,Asthma,MEDIUM
difficulty concentrating daytime fatigue headache irritability,Insomnia,LOW
difficulty sleeping weight loss anxiety fatigue rapid heartbeat,Hyperthyroidism,MEDIUM
dry cracked skin and red patches and itching,Psoriasis,LOW
confusion and staring spells and anxiety,Epilepsy,HIGH
"white spots in mouth, rash, sensitivity to light, high fever, runny nose",Measles,MEDIUM
"sweating, chills, chest pain, high fever, cough with phlegm, fatigue",Pneumonia,HIGH
runny nose sore throat cough fatigue high fever,Influenza (Flu),MEDIUM
difficulty concentrating fatigue appetite changes sleep problems persistent sadness loss of interest,Depression,MEDIUM
fever pelvic pain strong urine odor burning urination frequent urination cloudy urine,Urinary Tract Infection,MEDIUM
dark stool and weight loss and bloating and nausea,Peptic Ulcer,MEDIUM
"fever, headache, nasal congestion, facial pain, cough",Sinusitis,LOW
body aches headache cough,Influenza (Flu),MEDIUM
sensitivity to light discharge from eyes gritty feeling itchy eyes watery eyes red eyes,Conjunctivitis,LOW
abdominal pain cramping constipation gas bloating,Irritable Bowel Syndrome,LOW
red spots and headache and loss of appetite,Chickenpox,MEDIUM
"difficulty concentrating, appetite changes, fatigue, loss of interest, persistent sadness",Depression,MEDIUM
"neck pain, tenderness on scalp, fatigue, pressure around forehead, dull headache",Tension Headache,LOW
shortness of breath nosebleeds dizziness chest pain,Hypertension,HIGH
uncontrollable jerking anxiety seizures,Epilepsy,HIGH
stooped posture bone fractures back pain loss of height,Osteoporosis,MEDIUM
vomiting and balance problems and headache and spinning sensation,Vertigo,MEDIUM
skin inflammation pimples whiteheads blackheads oily skin scarring,Acne,LOW
blisters fever itchy rash,Chickenpox,MEDIUM
cough and bad breath and facial pain,Sinusitis,LOW
chest discomfort and mucus production and persistent cough and mild fever and fatigue,Bronchitis,MEDIUM
"prolonged fever, stomach pain, diarrhea",Typhoid,HIGH
reduced range of motion redness around joints stiffness,Arthritis,MEDIUM
"fever, nasal congestion, headache, runny nose, bad breath, cough",Sinusitis,LOW
dark urine thirst dizziness headache dry mouth,Dehydration,MEDIUM
fever and fatigue and muscle aches and swollen salivary glands and pain while chewing and headache,Mumps,MEDIUM
frequent urination and cloudy urine and fever and burning urination and pelvic pain and strong urine odor,Urinary Tract Infection,MEDIUM
fatigue and thirst and dark urine,Dehydration,MEDIUM
persistent cough fatigue shortness of breath mild fever mucus production chest discomfort,Bronchitis,MEDIUM
difficulty concentrating irritability daytime fatigue waking up at night difficulty falling asleep headache,Insomnia,LOW
"congestion, cough, sore throat, runny nose",Common Cold,LOW
stomach cramps and dehydration and vomiting and nausea and fever and headache,Gastroenteritis,MEDIUM
"cough with phlegm, difficulty breathing, sweating",Pneumonia,HIGH
fatigue itchy rash fever blisters loss of appetite red spots,Chickenpox,MEDIUM
pressure around forehead neck pain tenderness on scalp dull headache,Tension Headache,LOW
"sour taste, bloating, heartburn, difficulty swallowing",Acid Reflux (GERD),LOW
"fatigue, difficulty concentrating, sleep problems, appetite changes, persistent sadness",Depression,MEDIUM
heartburn and bloating and nausea,Peptic Ulcer,MEDIUM
"restlessness, muscle tension, sleep problems, fatigue, difficulty concentrating, excessive worry",Anxiety Disorder,MEDIUM
"difficulty breathing, cough with phlegm, fatigue",Pneumonia,HIGH
muscle cramps swollen ankles fatigue,Kidney Disease,HIGH
fatigue headache weakness dizziness,Anemia,MEDIUM
"dry skin, constipation, weight gain",Hypothyroidism,MEDIUM
"weight loss, fatigue, frequent urination",Diabetes,HIGH
"fatigue, difficulty sleeping, sweating, weight loss",Hyperthyroidism,MEDIUM
"vision problems, dizziness, headache, shortness of breath, nosebleeds",Hypertension,HIGH
fatigue and blurred vision and increased thirst,Diabetes,HIGH
vomiting loss of appetite severe abdominal pain constipation,Appendicitis,HIGH
"tremors, fatigue, sweating",Hyperthyroidism,MEDIUM
rash and stomach pain and prolonged fever and weakness and diarrhea,Typhoid,HIGH
"muscle pain, pain behind eyes, joint pain",Dengue,HIGH
"rapid heartbeat, nausea, high body temperature, confusion, red skin",Heat Stroke,HIGH
waking up at night difficulty falling asleep daytime fatigue,Insomnia,LOW
"frequent urination, swollen ankles, foamy urine, blood in urine, fatigue, muscle cramps",Kidney Disease,HIGH
"jaundice, loss of appetite, dark urine",Hepatitis,HIGH
stomach pain bloating weight loss heartburn vomiting,Peptic Ulcer,MEDIUM
weakness stomach pain diarrhea dehydration vomiting nausea,Food Poisoning,MEDIUM
"red patches, swelling, itchy skin, cracked skin, rough patches",Eczema,LOW
"sweating, anxiety, difficulty sleeping, tremors, weight loss",Hyperthyroidism,MEDIUM
"loss of consciousness, staring spells, seizures, anxiety, confusion",Epilepsy,HIGH
fatigue increased thirst frequent urination weight loss blurred vision slow healing wounds,Diabetes,HIGH
rash headache weakness,Typhoid,HIGH
strong urine odor fever pelvic pain burning urination frequent urination cloudy urine,Urinary Tract Infection,MEDIUM
persistent sadness sleep problems difficulty concentrating,Depression,MEDIUM
fatigue coughing blood night sweats weight loss,Tuberculosis,HIGH
red patches and dry cracked skin and itching and thick nails,Psoriasis,LOW
"spinning sensation, nausea, headache",Vertigo,MEDIUM
sore throat and runny nose and sneezing and mild fever,Common Cold,LOW
itchy nose and nasal congestion and watery eyes and runny nose,Allergic Rhinitis,LOW
"high body temperature, unconsciousness, confusion, red skin",Heat Stroke,HIGH
dry cracked skin burning itching silvery scales red patches thick nails,Psoriasis,LOW
wheezing rapid breathing shortness of breath,Asthma,MEDIUM
dark stool and vomiting and weight loss and heartburn and stomach pain and nausea,Peptic Ulcer,MEDIUM
sore throat and runny nose and high fever and fatigue and body aches and headache,Influenza (Flu),MEDIUM
"persistent sadness, appetite changes, sleep problems, loss of interest, fatigue",Depression,MEDIUM
runny nose red eyes high fever rash,Measles,MEDIUM
chills nausea vomiting,Malaria,HIGH
pain behind eyes severe headache rash high fever,Dengue,HIGH
pressure around forehead tenderness on scalp fatigue,Tension Headache,LOW
"rapid breathing, difficulty breathing, shortness of breath, wheezing, chest tightness, coughing at night",Asthma,MEDIUM
"headache, pale skin, weakness, dizziness",Anemia,MEDIUM
discharge from eyes and red eyes and sensitivity to light and watery eyes and gritty feeling and itchy eyes,Conjunctivitis,LOW
itching dry cracked skin red patches silvery scales,Psoriasis,LOW
sensitivity to light and nausea and sensitivity to sound and vomiting and visual disturbances and severe headache,Migraine,LOW
"fatigue, appetite changes, sleep problems, difficulty concentrating",Depression,MEDIUM
nausea loss of appetite fever vomiting constipation,Appendicitis,HIGH
mild fever watery eyes congestion cough sore throat,Common Cold,LOW
dizziness fatigue irregular heartbeat,Heart Disease,HIGH
blisters and swelling and itchy skin and dry skin,Dermatitis,LOW
"spinning sensation, balance problems, nausea",Vertigo,MEDIUM
"jaundice, abdominal pain, nausea",Hepatitis,HIGH
fever stomach pain diarrhea nausea vomiting weakness,Food Poisoning,MEDIUM
"severe pain in side, vomiting, pink urine, nausea",Kidney Stones,HIGH
"red skin, confusion, nausea, headache, rapid heartbeat",Heat Stroke,HIGH
"reduced range of motion, joint pain, swelling, redness around joints",Arthritis,MEDIUM
headache and waking up at night and difficulty falling asleep,Insomnia,LOW
"itchy rash, fever, blisters",Chickenpox,MEDIUM
"red skin, headache, high body temperature, rapid heartbeat, nausea",Heat Stroke,HIGH
sensitivity to light red eyes runny nose rash cough,Measles,MEDIUM
burning urination and pelvic pain and cloudy urine and strong urine odor,Urinary Tract Infection,MEDIUM
nausea loss of appetite severe abdominal pain constipation vomiting,Appendicitis,HIGH
"burning, thick nails, dry cracked skin, red patches",Psoriasis,LOW
frequent urination and swollen ankles and fatigue,Kidney Disease,HIGH
silvery scales red patches thick nails,Psoriasis,LOW
weakness muscle spasms limited movement swelling bruising muscle pain,Muscle Strain,LOW
sour taste regurgitation bloating difficulty swallowing chest pain,Acid Reflux (GERD),LOW
"muscle tension, fatigue, restlessness, difficulty concentrating, excessive worry",Anxiety Disorder,MEDIUM
"muscle pain, swelling, weakness, limited movement, bruising",Muscle Strain,LOW
headache diarrhea stomach pain rash prolonged fever loss of appetite,Typhoid,HIGH
"limited movement, bruising, swelling",Muscle Strain,LOW
high fever cough sensitivity to light rash red eyes,Measles,MEDIUM
difficulty breathing chest pain cough with phlegm sweating high fever chills,Pneumonia,HIGH
loss of appetite stomach pain diarrhea,Typhoid,HIGH
burning dry cracked skin itching,Psoriasis,LOW
pink urine nausea pain during urination frequent urination,Kidney Stones,HIGH
"fatigue, cold sensitivity, constipation, weight gain, depression, muscle weakness",Hypothyroidism,MEDIUM
"fever, vomiting, constipation, severe abdominal pain",Appendicitis,HIGH
"runny nose, sore throat, high fever",Influenza (Flu),MEDIUM
"dizziness, chest pain, irregular heartbeat, fatigue, shortness of breath, swollen legs",Heart Disease,HIGH
pain behind eyes and joint pain and rash and high fever and severe headache and muscle pain,Dengue,HIGH
"stomach pain, nausea, dehydration, fever",Food Poisoning,MEDIUM
abdominal pain dark urine fatigue jaundice loss of appetite joint pain,Hepatitis,HIGH
nausea difficulty breathing itching dizziness swelling,Food Allergy,MEDIUM
heartburn difficulty swallowing bloating,Acid Reflux (GERD),LOW
"headache, balance problems, nausea, vomiting, dizziness, spinning sensation",Vertigo,MEDIUM
"daytime fatigue, difficulty falling asleep, irritability, waking up at night",Insomnia,LOW
anxiety confusion loss of consciousness uncontrollable jerking staring spells,Epilepsy,HIGH
"fatigue, itchy rash, headache, blisters, fever",Chickenpox,MEDIUM
nausea and severe headache and visual disturbances and sensitivity to sound and vomiting,Migraine,LOW
"persistent sadness, sleep problems, loss of interest, fatigue, appetite changes",Depression,MEDIUM
swollen legs and shortness of breath and chest pain and dizziness and irregular heartbeat,Heart Disease,HIGH
loss of height weakness back pain,Osteoporosis,MEDIUM
"bad breath, headache, nasal congestion, cough",Sinusitis,LOW
"bone fractures, joint pain, back pain",Osteoporosis,MEDIUM
"swollen ankles, fatigue, muscle cramps",Kidney Disease,HIGH
coughing at night and rapid breathing and wheezing,Asthma,MEDIUM
neck pain pressure around forehead dull headache tenderness on scalp,Tension Headache,LOW
wheezing chest tightness shortness of breath coughing at night rapid breathing difficulty breathing,Asthma,MEDIUM
high fever and rash and joint pain and severe headache,Dengue,HIGH
dizziness weakness fatigue,Anemia,MEDIUM
vomiting dark stool nausea heartburn bloating,Peptic Ulcer,MEDIUM
"rash, weakness, diarrhea, loss of appetite",Typhoid,HIGH
fever runny nose headache cough facial pain,Sinusitis,LOW
itchy skin cracking swelling redness blisters dry skin,Dermatitis,LOW
"high fever, fatigue, chills",Influenza (Flu),MEDIUM
fatigue and slow healing wounds and weight loss and blurred vision and frequent urination and increased thirst,Diabetes,HIGH
mucus production and shortness of breath and mild fever and persistent cough and fatigue and chest discomfort,Bronchitis,MEDIUM
coughing blood and persistent cough and chest pain,Tuberculosis,HIGH
fatigue abdominal pain jaundice nausea dark urine,Hepatitis,HIGH
muscle cramps and foamy urine and fatigue and blood in urine and frequent urination and swollen ankles,Kidney Disease,HIGH
fatigue and high fever and headache and muscle pain and sweating,Malaria,HIGH
"fever, persistent cough, night sweats, fatigue",Tuberculosis,HIGH
